bioma;ponto;id;tcmax;classe;ordem;familia;subfamilia;genero;localidade;mes;hora;periodo;lat;long;alt;estacao;tempAR;tempSOL;peso;temp.conf
1;2;59;38.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;60;40.00;Arachnida;Araneae;Corinnidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;76;NAO
1;2;61;40.00;Arachnida;Araneae;Corinnidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;12;NAO
1;2;62;40.00;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;63;42.00;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;64;42.00;Arachnida;Araneae;Miturgidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;15;NAO
1;2;65;33.67;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;66;35.00;Arachnida;Araneae;Miturgidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;67;36.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;68;36.67;Insecta;Blattodea;NA;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;69;37.00;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;70;36.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;71;38.00;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;72;37.67;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;73;37.67;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;74;39.00;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;75;40.00;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;76;37.00;Arachnida;Opiliones;Gonyleptidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;77;37.00;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;78;37.00;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;79;37.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;80;39.00;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;81;39.00;Arachnida;Acari;NA;NA;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;2;82;41.00;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;11:15:09;MANHA;-23.65582;-45.88882;314;Boraceia;NA;20.50;1;NAO
1;3;83;34.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;65;NAO
1;3;84;34.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;53;NAO
1;3;85;34.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;45;NAO
1;3;86;42.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;33;NAO
1;3;88;42.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;89;42.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;90;41.67;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;91;43.00;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;92;44.67;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;93;34.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
