bioma;ponto;id;tcmax;classe;ordem;familia;subfamilia;genero;localidade;lat;long;alt;estacao;tempAR;tempSOL;peso
1.0;3;84;34.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;53
1.0;3;85;34.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;45
1.0;3;86;42.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;33
1.0;3;88;42.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;89;42.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;90;41.67;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;91;43;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;92;44.67;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;93;34.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;94;33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;52
1.0;3;95;33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;42
1.0;3;96;33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;32
1.0;3;97;33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;18
1.0;3;98;33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;12
1.0;3;99;33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;2
1.0;3;100;35.67;Insecta;Hymenoptera;Formicidae;Ponerinae;Hypoponera;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;101;33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;102;33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;104;29.67;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;28
1.0;3;105;31.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;19
1.0;3;106;33.67;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;107;34;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;11
1.0;3;108;36;Arachnida;Araneae;Pholcidae;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;8
1.0;3;109;36;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;110;36;Arachnida;Araneae;Pholcidae;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;112;38.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;113;43.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;116;34.67;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;117;36.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;3
1.0;3;118;36;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;119;39;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;1
1.0;3;120;43.67;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.128;790;Boraceia;20.1;16;7
1.0;4;121;34;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;24
1.0;4;122;34.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;123;35.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;4
1.0;4;124;36;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;125;34.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;126;36;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;128;37.67;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;129;34.67;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;130;36.67;Insecta;Blattodea;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;131;34.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;10
1.0;4;132;36.67;Arachnida;Araneae;Zodariidae;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;3
1.0;4;133;40.67;Arachnida;Araneae;Zodariidae;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;20
1.0;4;134;30.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;8
1.0;4;135;32.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;136;32.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;137;32.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;28
1.0;4;138;34;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;6
1.0;4;139;36;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;140;36.67;Insecta;Blattodea;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;142;37.67;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;143;36;Insecta;Hymenoptera;Formicidae;Dolichoderinae;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;145;38.67;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;146;31.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;150;33.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;18
1.0;4;151;34;Insecta;Blattodea;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;152;35.67;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;153;36.67;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
